procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0      0 9265128 191880 3967448    0    0    32    10   81  173  2  1 98  0  0
 0  0      0 9289128 191960 3970872    0    0     0   458 5476 12247 14  5 80  0  0
 0  0      0 9289608 191976 3960172    0    0     0    33  731 1572  1  0 99  0  0
 0  0      0 9299640 192016 3959984    0    0     0    39  679 1507  1  0 99  0  0
 0  0      0 9193480 192024 4024564    0    0     0    50 2218 3496  2  1 97  0  0
 0  0      0 9129976 192100 4058792    0    0     2   176 5771 11559  4  1 94  0  0
 0  0      0 9230000 192272 3988780    0    0    65    77 2608 5425  2  1 98  0  0
 0  0      0 9250028 193184 3973660    0    0   863   622 2377 4437  2  1 98  0  0
 0  0      0 9202476 193436 4010524    0    0    24   169 1929 3289  1  1 98  0  0
 2  0      0 9269592 193468 3958692    0    0     0   102 1854 3245  1  1 99  0  0
 0  0      0 9055104 193508 4141364    0    0     0    84 1605 2919  1  1 98  0  0
 0  0      0 9236548 193724 3995992    0    0     0   283 5527 7441  4  1 95  0  0
 0  0      0 9215592 193804 4020844    0    0     0    97 2516 3700  2  1 97  0  0
 0  0      0 9239940 193820 3991360    0    0    55    38 1224 2867  1  1 98  0  0
 0  0      0 9226300 193940 4013276    0    0     0   140 3455 6139  2  1 96  0  0
 0  0      0 9298360 193972 3965984    0    0     0    62 1075 2351  1  1 98  0  0
 0  0      0 9252360 194068 3983868    0    0     0    77 3729 5087  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 9208716 194252 4026660    0    0    31     9   83  176  2  1 98  0  0
 1  0      0 9213904 194252 4014416    0    0     0   159 4916 6972  4  2 94  0  0
 4  0      0 9252720 194284 3987448    0    0     0    45 1180 1828  2  4 94  0  0
 1  0      0 9252992 194284 3987416    0    0     0    44 1053 1644  2  4 94  0  0
 3  1      0 9170344 194324 4079632    0    0     0    68 3390 5877  3  4 92  0  0
 2  0      0 9183752 194428 4052316    0    0     0   149 4188 7103  4  5 92  0  0
 1  0      0 9246004 194604 3981452    0    0     0   228 4098 8004  3  5 92  0  0
 1  0      0 9223488 194604 4015196    0    0     0   147 3582 7580  3  4 93  0  0
 1  0      0 9240340 194676 3996144    0    0     0   104 1771 3389  2  4 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 9257924 194676 3980720    0    0     0   104 1458 2558  2  4 94  0  0
 2  0      0 9265128 194692 3981592    0    0     0    42 3052 5073  3  4 93  0  0
 1  0      0 9252916 194692 3981660    0    0     0    54 3643 5695  3  4 92  0  0
 2  0      0 9240236 194732 3975276    0    0     0    63 4102 5392  4  4 92  0  0
 2  0      0 9236768 194732 3982696    0    0     0    53 4446 6047  4  4 91  0  0
 1  0      0 9263804 194756 3981428    0    0     0    25 4997 6568  4  4 91  0  0
 1  0      0 9264628 194756 3981424    0    0     0    43 4332 5603  3  4 92  0  0
 1  0      0 9258268 194772 3998308    0    0     0    53 2457 3587  3  4 93  0  0
 1  0      0 9271524 194772 3981920    0    0     0    33 2622 3768  3  4 93  0  0
 1  0      0 9250456 194868 3980428    0    0     0   106 2897 4965  2  4 93  0  0
 1  0      0 9271516 194868 3980428    0    0     0   106 2491 4499  2  4 94  0  0
 1  0      0 9269888 194932 4002496    0    0     0    90 3405 4782  3  4 92  0  0
 3  0      0 9289056 194932 3989440    0    0     0   104 3783 5350  3  4 92  0  0
 1  0      0 9290224 194940 3994044    0    0     0    27 3805 5472  4  4 92  0  0
 1  0      0 9288996 194948 3994044    0    0     0    16 3928 5139  3  4 92  0  0
 1  0      0 9306712 194988 3977396    0    0     0    37 4882 4334  2  4 94  0  0
 1  0      0 9274200 194988 3994560    0    0     0    36 4544 4603  2  4 94  0  0
 1  0      0 9298260 195004 3989000    0    0     0    27 4190 6022  4  4 92  0  0
 1  0      0 9295780 195020 3987392    0    0     0    32 4077 5570  4  4 92  0  0
 1  0      0 9285312 195028 3981976    0    0     0    55 1699 3612  2  4 94  0  0
 1  0      0 9285420 195036 3981964    0    0     0    50 1656 3698  2  4 94  0  0
 1  0      0 9305900 195072 3965596    0    0     3    10 1455 2635  2  4 94  0  0
 1  0      0 9326996 195072 3965592    0    0     3     7 1414 2432  2  4 94  0  0
 2  0      0 9224708 195112 4028660    0    0     0    58 2436 4426  3  6 91  0  0
 2  0      0 9240220 195112 4014160    0    0     0    60 2674 4662  3  7 90  0  0
 2  0      0 9267360 195128 4020060    0    0     0    44 3122 4719  4  8 88  0  0
 2  0      0 9346312 195128 3951692    0    0     0    43 3155 4854  4  8 88  0  0
 2  0      0 9313016 195160 3967892    0    0     0    41 2439 4108  3  8 89  0  0
 2  0      0 9312768 195160 3967892    0    0     0    41 2212 3743  3  8 89  0  0
 3  0      0 9301008 195176 3970856    0    0     0    25 1559 2185  3  8 89  0  0
 6  0      0 9181444 195232 4068008    0    0     0    71 2966 3992  4  8 88  0  0
 5  0      0 9234864 195336 4005232    0    0     0   154 6491 9240  7  9 85  0  0
 2  0      0 9254812 195344 3991128    0    0     0   114 5718 8181  6  9 85  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 9248052 195376 4000736    0    0     0    81 5021 6879  5  9 87  0  0
 2  0      0 9240512 195376 3992708    0    0     0    75 4396 6169  4  8 87  0  0
 1  0      0 9268880 195520 3987852    0    0     5   147 1673 2543  3  8 90  0  0
 1  0      0 9274748 195560 3987980    0    0     5   205 1705 2699  3  7 90  0  0
 2  0      0 9251220 195592 4002188    0    0     0   154 3102 4444  5  5 91  0  0
 1  0      0 9263576 195592 3993992    0    0     0   102 3385 5032  5  5 90  0  0
 1  0      0 9285564 195648 3968452    0    0     0   100 2652 3878  4  5 91  0  0
 1  0      0 9296220 195648 3968452    0    0     0    94 2621 3243  4  5 92  0  0
 1  0      0 9299872 195664 3967556    0    0     0    22 3119 3622  4  5 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 9299116 195664 3967556    0    0     0    22 2778 3468  4  5 92  0  0
 1  0      0 9294480 195688 3976836    0    0     0    45 1414 1812  2  4 93  0  0
 1  0      0 9294024 195688 3977348    0    0     0    45 1637 2144  3  4 93  0  0
 1  0      0 9289400 195712 3952016    0    0     0    41 1515 2235  3  4 93  0  0
 1  0      0 9287888 195712 3951248    0    0     0    42 1301 1918  2  4 94  0  0
 1  0      0 9248028 195728 3985760    0    0     0     9 1949 3173  3  5 92  0  0
 1  0      0 9258072 195728 3971944    0    0     0    20 1980 3229  3  5 92  0  0
 1  0      0 9291340 195784 3973764    0    0     0    70 1815 2824  3  4 93  0  0
 1  0      0 9301340 195784 3973760    0    0     0    58 1859 3001  3  4 93  0  0
 1  0      0 9333080 195824 3951304    0    0     0    37 1516 2389  2  4 93  0  0
 1  0      0 9320724 195824 3967636    0    0     0    37 1573 2546  2  4 93  0  0
 1  0      0 9233984 195880 4048212    0    0     0    54 4607 7196  7  5 88  0  0
 1  0      0 9293740 195904 3987360    0    0     0    66 4552 6960  7  5 88  0  0
11  0      0 9281120 195928 3973348    0    0     0    74 2653 4572  5 10 85  0  0
11  0      0 9287352 195928 3969488    0    0     0    67 2987 4521  7 15 78  0  0
14  0      0 9147876 195960 4097072    0    0     0    50 6478 5004 19 42 39  0  0
11  0      0 9230620 195960 4013376    0    0     0    45 6716 5611 19 42 39  0  0
11  0      0 9288492 196008 3974040    0    0    45    46 5496 4233 18 42 40  0  0
11  0      0 9292508 196016 3972760    0    0    45    50 5219 3514 18 42 41  0  0
12  0      0 9245404 196088 4004164    0    0     0    55 4625 3239 17 42 42  0  0
11  0      0 9246636 196088 3997764    0    0     0    50 4987 4111 17 42 41  0  0
11  0      0 9245380 196120 3996524    0    0     0    79 4684 3713 17 42 41  0  0
11  0      0 9262300 196128 3980784    0    0     0    87 4367 2941 17 41 42  0  0
11  0      0 9278540 196136 3990104    0    0     0    28 4420 2719 16 41 42  0  0
11  0      0 9277532 196136 3988632    0    0     0    20 4374 2643 16 41 42  0  0
12  0      0 9273924 196168 3988652    0    0     0    34 3785 1723 16 41 43  0  0
12  0      0 9267276 196168 3992252    0    0     0    47 4063 2264 16 41 43  0  0
13  0      0 9224968 196248 4028480    0    0     0    98 5974 5891 19 42 39  0  0
11  0      0 9216524 196248 4030780    0    0     0    85 6184 5933 19 42 39  0  0
11  0      0 9285180 196288 3969888    0    0     0    26 4473 2511 17 41 42  0  0
11  0      0 9285840 196288 3969888    0    0     0    28 3977 1916 16 41 43  0  0
11  0      0 9308944 196344 3953428    0    0     0    64 3906 1643 16 41 43  0  0
11  0      0 9308944 196344 3953428    0    0     0    75 3905 1624 16 41 43  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  0      0 9193564 196376 4055312    0    0     0    51 7001 6160 22 42 36  0  0
11  0      0 9182496 196376 4066624    0    0     0    39 7321 6669 22 43 35  0  0
16  0      0 9206048 196432 4042704    0    0     5    79 7293 7021 21 43 36  0  0
12  0      0 9217600 196440 4030720    0    0     5    89 7241 6901 21 43 36  0  0
11  0      0 9309000 196472 3954428    0    0     0    47 4787 3679 17 41 42  0  0
12  0      0 9252420 196488 3991884    0    0     0    56 4600 3517 17 41 42  0  0
11  0      0 9260772 196536 3976596    0    0     0    76 4901 3252 17 42 41  0  0
11  0      0 9273620 196536 3973556    0    0     0    58 4836 3070 17 41 41  0  0
12  0      0 9285216 196560 3971504    0    0     0    38 6508 3588 18 42 41  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0      0 9282956 196560 3972432    0    0     0    37 7080 4047 18 42 40  0  0
11  0      0 9073164 196688 4147716    0    0     0   133 6824 7370 19 42 38  0  0
11  0      0 9095524 196740 4117612    0    0    74   152 6570 7947 19 43 38  0  0
15  0      0 9258376 196792 3921140    0    0    74   123 5783 7873 18 42 40  0  0
12  0      0 9037008 196912 4105252    0    0    74   208 5981 9628 19 42 39  0  0
11  0      0 9144444 197052 3978764    0    0    74   377 9482 16727 22 43 35  0  0
11  0      0 9170160 197068 3956376    0    0     1   317 9435 14116 21 43 36  0  0
12  0      0 9156464 197132 3969588    0    0     5   255 5803 5741 17 42 42  0  0
11  0      0 9141196 197148 3977744    0    0     5   229 5788 7247 17 42 41  0  0
15  1      0 8909736 197348 4103980    0    0    24   262 7504 15282 23 43 34  0  0
12  0      0 9068972 197380 4034040    0    0    24   357 8020 15114 24 43 33  0  0
12  0      0 9158232 197528 3978336    0    0     0   296 6455 6613 19 42 39  0  0
11  0      0 9161460 197528 3956704    0    0     0   182 6125 5822 19 42 39  0  0
11  0      0 9187332 197552 3948412    0    0     0   129 4693 2709 18 41 41  0  0
12  0      0 9208992 197576 3932032    0    0     0   166 4155 2275 17 41 42  0  0
11  1      0 9243460 197704 3934132    0    0   393   214 4644 3297 17 42 41  0  0
11  0      0 9239436 197720 3934212    0    0   393   204 4590 3110 17 42 41  0  0
12  0      0 9271028 197776 3918160    0    0    20   146 4130 2340 16 41 42  0  0
11  0      0 9259260 197784 3926680    0    0    20   130 4103 2305 16 41 42  0  0
11  0      0 9233220 197816 3911020    0    0     2   122 4385 3175 17 41 41  0  0
11  0      0 9200424 197896 3930796    0    0     2  2106 4532 3538 18 41 41  0  0
12  0      0 9186504 197984 3960344    0    0     0  2120 7124 6775 21 43 37  0  0
11  0      0 9206996 197984 3942460    0    0     0   126 7424 7433 20 43 37  0  0
14  0      0 9077920 198032 4058768    0    0  1039   129 6021 5192 18 42 40  0  0
14  0      0 9140252 198032 3998112    0    0  1039   148 6596 5537 19 43 38  0  0
11  0      0 9165736 198048 4004528    0    0     0   209 7676 6673 22 43 35  0  0
11  0      0 9193164 198064 3974064    0    0     0   206 6711 5438 20 43 37  0  0
11  0      0 9205060 198096 3965660    0    0     0  2805 3968 2002 17 41 42  0  0
11  0      0 9220084 198096 3949276    0    0     0  2789 3859 1753 17 41 42  0  0
11  0      0 9132448 198160 4043680    0    0     0    68 6515 6128 20 43 38  0  0
11  0      0 9139936 198160 4044812    0    0     0    68 7091 6825 21 43 37  0  0
11  0      0 9189948 198256 3976268    0    0     0    78 6325 5173 20 43 37  0  0
11  0      0 9204960 198256 3976204    0    0     0    78 5763 4490 19 43 38  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0      0 9154696 198288 4023828    0    0     0    54 5706 5523 18 42 39  0  0
14  0      0 9172224 198288 4016880    0    0     0    56 5901 5843 19 42 39  0  0
11  0      0 9183312 198352 3984984    0    0     0    64 6551 6485 20 42 38  0  0
11  0      0 9123188 198360 4042760    0    0     0    69 6558 6463 20 42 38  0  0
14  0      0 9184176 198472 3992084    0    0     0   128 5791 5842 19 42 39  0  0
30  0      0 9162812 198472 4016740    0    0     0   122 6199 6589 20 42 38  0  0
11  0      0 9189152 198520 3976300    0    0     0    86 6355 5654 21 42 36  0  0
11  0      0 9172952 198520 3992616    0    0     0    88 5798 4757 20 42 37  0  0
11  0      0 9178996 198616 3998900    0    0   106    64 4609 3161 17 42 41  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
12  0      0 9174760 198616 3998948    0    0   106    64 4649 3238 17 42 41  0  0
11  0      0 9183104 198836 3983068    0    0     0   164 5641 5195 19 42 39  0  0
11  0      0 9199656 198852 3974812    0    0     0   185 5562 4967 19 42 39  0  0
11  0      0 9197636 198868 3969636    0    0     0    64 4141 2351 16 41 42  0  0
11  0      0 9186160 198868 3989264    0    0     0    41 4224 2571 16 41 42  0  0
12  0      0 9194064 198904 3971664    0    0     0    57 4541 3062 17 41 42  0  0
11  0      0 9173816 198904 3995248    0    0     0    57 4839 3718 17 42 41  0  0
11  0      0 9181936 199016 3996224    0    0     0   115 5308 5068 18 42 40  0  0
11  0      0 9210712 199032 3966496    0    0     0   128 5160 4840 17 42 41  0  0
11  0      0 9200404 199072 3966212    0    0     0    64 4705 3849 16 42 42  0  0
11  0      0 9228104 199104 3951016    0    0     0    75 4527 3347 16 42 42  0  0
11  0      0 9213180 199136 3964276    0    0     0    56 4201 2447 16 42 42  0  0
15  0      0 9201200 199136 3982172    0    0     0    38 4315 2771 16 42 42  0  0
12  1      0 9237200 199264 3978896    0    0     0   158 6693 6066 19 42 38  0  0
11  0      0 9233712 199280 3989244    0    0     0   161 6786 6232 20 42 38  0  0
12  0      0 9186100 199344 3992084    0    0     0    46 6237 6398 19 42 38  0  0
11  0      0 9191508 199344 4010452    0    0     0    44 6768 6578 20 43 37  0  0
11  0      0 9207968 199360 3998904    0    0     0    40 10171 8252 24 43 33  0  0
11  0      0 9205188 199360 3994404    0    0     0    35 9668 8169 23 43 33  0  0
11  0      0 9221588 199496 3981824    0    0     0   128 5637 6098 19 42 39  0  0
14  0      0 9189280 199504 4012020    0    0     0   133 5933 6363 20 42 38  0  0
11  0      0 9232216 199552 3979576    0    0     0    69 6841 6348 20 42 37  0  0
11  0      0 9247456 199552 3962296    0    0     0    70 6286 5477 19 42 38  0  0
11  0      0 9262140 199568 3960828    0    0     0    52 4087 2604 16 41 43  0  0
11  0      0 9261636 199568 3960828    0    0     0    57 4095 2605 16 41 43  0  0
12  0      0 9246356 199648 3978836    0    0     0    82 4200 2642 16 41 43  0  0
11  0      0 9263284 199664 3961268    0    0     0    77 4212 2729 16 41 43  0  0
11  0      0 9184496 199704 3984108    0    0     0    65 4211 3138 16 41 42  0  0
11  0      0 9205156 199704 3967736    0    0     0    56 4176 3090 16 41 42  0  0
11  0      0 9252960 199744 3960960    0    0     0    51 4102 2782 16 42 43  0  0
11  0      0 9240492 199788 3944092    0    0    10    85 4258 2870 16 42 42  0  0
11  0      0 9223504 199860 3983160    0    0    10   190 5739 4966 17 41 42  0  0
11  0      0 9240212 199876 3965652    0    0     0   174 5607 4872 17 41 43  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 10377004 199940 3953128    0    0     7   175 4517 3821 17 41 42  0  0
 1  0      0 10396460 199940 3938876    0    0     7   156 4455 4688 15 36 49  0  0
 2  0      0 10525032 200000 3845244    0    0    54   195 2699 4974  1  1 98  0  0
 0  0      0 10530408 200008 3839376    0    0    54   200 2586 4428  1  1 98  0  0
 0  0      0 10762768 200028 3753676    0    0    26   120 1613 3187  1  1 99  0  0
 1  0      0 10655140 200036 3816872    0    0    26   126 1524 3501  1  1 98  0  0
 1  0      0 10035092 200588 3868196    0    0   547  1337 8884 24398  6  2 92  0  0
 3  0      0 10047188 200660 3863296    0    0   547  1437 9705 26948  6  2 91  0  0
 0  0      0 9984556 200844 3881844    0    0     0   349 4123 10187  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 10028156 200872 3848788    0    0     0   304 3362 7526  2  1 97  0  0
 2  0      0 9884332 200912 3873096    0    0     0   143 5423 7709  3  1 95  0  0
 0  0      0 9884772 200928 3873216    0    0     0   118 5601 7584  4  1 95  0  0
 0  0      0 9948260 200968 3889788    0    0     0   121 2299 4116  2  1 97  0  0
 0  0      0 9979188 200968 3861060    0    0     0    84 2048 3918  2  1 98  0  0
 1  0      0 10112756 200984 3865144    0    0     0    34 3302 5939  3  1 96  0  0
 0  0      0 10136936 200992 3848756    0    0     0    41 3187 5704  3  1 96  0  0
 1  0      0 10098936 201024 3857216    0    0     0    36 1094 2885  1  1 99  0  0
 2  0      0 10122816 201048 3851356    0    0     0    44 1926 3577  1  1 98  0  0
 7  0      0 10060924 201096 3836776    0    0     0   104 6670 6142  4  1 95  0  0
 0  0      0 10045328 201104 3832400    0    0     0   113 6118 5843  3  1 95  0  0
